State,District,Latitude,Longitude,District code,Population,sex_ratio,literacy_rate,Hindu_pct,Muslims_pct,Christians_pct,Male_literacy_rate,Female_literacy_rate,Male_pct,Female_pct,Internet_pct,Electricity_pct,Gender_literacy_gap,Workers_pct,Non_workers_pct,Urban_pct,Rural_pct
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,88.89,51.51,14.9,1.16,15.98,57.35,44.96,52.94,47.06,0.9,57.65,12.39,49.95,50.05,20.3,79.7
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,99.84,54.26,16.15,0.62,10.52,59.41,49.1,50.04,49.96,0.72,27.96,10.31,39.99,60.01,24.32,75.68
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,81.88,57.77,37.24,2.35,10.08,64.06,50.08,54.98,45.02,0.83,58.64,13.98,50.62,49.38,26.06,73.94
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,93.02,57.67,14.14,1.98,26.69,63.23,51.69,51.81,48.19,0.98,46.15,11.54,43.8,56.2,27.63,72.37
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,95.34,52.97,29.11,70.74,0.06,57.56,48.15,51.19,48.81,0.42,16.98,9.41,33.17,66.83,10.45,89.55
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,96.59,58.75,48.61,50.22,0.8,63.09,54.26,50.87,49.13,1.14,22.63,8.83,34.62,65.38,17.46,82.53999999999999
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,95.94,67.61,59.83,37.71,2.17,72.21,62.82,51.04,48.96,1.22,32.22,9.39,35.01,64.99,20.44,79.56
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,95.36,52.45,35.25,64.34,0.18,56.53,48.18,51.19,48.81,0.4,15.74,8.35,34.99,65.01,6.99,93.01
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,95.34,61.65,95.47,1.96,1.27,67.69,55.32,51.19,48.81,0.52,12.35,12.37,46.17,53.83,7.23,92.77
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,96.08,66.69,90.35,4.86,3.99,72.64,60.5,51.0,49.0,2.34,36.25,12.14,42.26,57.74,20.47,79.53
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,96.42,55.9,34.51,57.52,7.72,59.28,52.39,50.91,49.09,0.51,29.33,6.89,35.96,64.04,14.73,85.27
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,96.42,67.65,85.99,8.46,4.74,72.99,62.11,50.91,49.09,0.94,25.18,10.88,44.98,55.02,10.45,89.55
